Latitude (decimal degrees):	53.368
Longitude (decimal degrees):	7.183
Elevation (m):	3
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.0,14.97,9.66,0.0
20230101:0111,0.0,0.0,0.0,0.0,14.48,10.28,0.0
20230101:0211,0.0,0.0,0.0,0.0,13.85,9.45,0.0
20230101:0311,0.0,0.0,0.0,0.0,13.76,8.83,0.0
20230101:0411,0.0,0.0,0.0,0.0,13.35,8.83,0.0
20230101:0511,0.0,0.0,0.0,0.0,12.55,9.1,0.0
20230101:0611,0.0,0.0,0.0,0.0,12.4,8.9,0.0
20230101:0711,0.0,0.0,0.0,0.0,12.19,9.03,0.0
20230101:0811,0.0,9.0,0.0,1.87,11.77,8.62,0.0
20230101:0911,0.0,23.0,0.0,7.54,11.39,8.21,0.0
20230101:1011,29.0,86.0,0.0,11.5,12.05,7.72,0.0
20230101:1111,145.01,61.0,0.0,13.45,11.99,7.66,0.0
20230101:1211,56.0,97.0,0.0,13.22,11.91,7.59,0.0
20230101:1311,13.0,77.0,0.0,10.82,11.99,7.31,0.0
20230101:1411,6.0,41.0,0.0,6.46,11.76,6.62,0.0
20230101:1511,0.0,0.0,0.0,0.0,11.29,5.86,0.0
20230101:1611,0.0,0.0,0.0,0.0,11.02,5.24,0.0
20230101:1711,0.0,0.0,0.0,0.0,10.89,5.1,0.0
20230101:1811,0.0,0.0,0.0,0.0,11.1,4.62,0.0
20230101:1911,0.0,0.0,0.0,0.0,11.09,4.48,0.0
20230101:2011,0.0,0.0,0.0,0.0,10.7,4.48,0.0
20230101:2111,0.0,0.0,0.0,0.0,10.58,4.28,0.0
20230101:2211,0.0,0.0,0.0,0.0,10.31,3.31,0.0
20230101:2311,0.0,0.0,0.0,0.0,10.1,3.38,0.0
20230102:0011,0.0,0.0,0.0,0.0,9.88,3.66,0.0
20230102:0111,0.0,0.0,0.0,0.0,9.84,4.14,0.0
20230102:0211,0.0,0.0,0.0,0.0,10.46,4.9,0.0
20230102:0311,0.0,0.0,0.0,0.0,11.05,4.41,0.0
20230102:0411,0.0,0.0,0.0,0.0,11.45,4.48,0.0
20230102:0511,0.0,0.0,0.0,0.0,11.92,5.24,0.0
20230102:0611,0.0,0.0,0.0,0.0,11.93,7.03,0.0
20230102:0711,0.0,0.0,0.0,0.0,11.39,7.79,0.0
20230102:0811,0.0,2.0,0.0,1.9,10.46,6.41,0.0
20230102:0911,0.0,29.0,0.0,7.58,9.46,6.14,0.0
20230102:1011,8.0,80.0,0.0,11.56,9.07,4.9,0.0
20230102:1111,6.0,88.0,0.0,13.53,8.99,4.62,0.0
20230102:1211,84.01,88.0,0.0,13.31,8.89,4.55,0.0
20230102:1311,1.0,57.0,0.0,10.92,9.05,5.45,0.0
20230102:1411,3.0,38.0,0.0,6.58,9.1,5.1,0.0
20230102:1511,0.0,0.0,0.0,0.0,9.06,5.66,0.0
20230102:1611,0.0,0.0,0.0,0.0,8.5,5.52,0.0
20230102:1711,0.0,0.0,0.0,0.0,7.92,4.97,0.0
20230102:1811,0.0,0.0,0.0,0.0,7.63,4.83,0.0
20230102:1911,0.0,0.0,0.0,0.0,6.73,4.55,0.0
20230102:2011,0.0,0.0,0.0,0.0,6.35,4.34,0.0
20230102:2111,0.0,0.0,0.0,0.0,5.47,4.41,0.0
20230102:2211,0.0,0.0,0.0,0.0,5.35,4.34,0.0
20230102:2311,0.0,0.0,0.0,0.0,4.9,4.21,0.0
20230103:0011,0.0,0.0,0.0,0.0,4.44,4.07,0.0
20230103:0111,0.0,0.0,0.0,0.0,4.0,3.72,0.0
20230103:0211,0.0,0.0,0.0,0.0,3.69,3.52,0.0
20230103:0311,0.0,0.0,0.0,0.0,2.99,3.45,0.0
20230103:0411,0.0,0.0,0.0,0.0,2.51,3.24,0.0
20230103:0511,0.0,0.0,0.0,0.0,2.26,3.38,0.0
20230103:0611,0.0,0.0,0.0,0.0,2.32,3.59,0.0
20230103:0711,0.0,0.0,0.0,0.0,2.6,3.86,0.0
20230103:0811,0.0,7.0,0.0,1.94,2.65,3.86,0.0
20230103:0911,54.01,44.0,0.0,7.64,3.17,3.72,0.0
20230103:1011,49.0,86.0,0.0,11.63,3.62,3.31,0.0
20230103:1111,4.0,87.0,0.0,13.62,4.56,3.52,0.0
20230103:1211,15.0,100.0,0.0,13.41,5.3,3.59,0.0
20230103:1311,0.0,46.0,0.0,11.04,6.39,4.28,0.0
20230103:1411,6.0,42.0,0.0,6.7,6.77,4.34,0.0
20230103:1511,0.0,0.0,0.0,0.0,6.81,4.34,0.0
20230103:1611,0.0,0.0,0.0,0.0,7.15,4.62,0.0
20230103:1711,0.0,0.0,0.0,0.0,7.0,5.1,0.0
20230103:1811,0.0,0.0,0.0,0.0,6.93,5.79,0.0
20230103:1911,0.0,0.0,0.0,0.0,6.91,6.41,0.0
20230103:2011,0.0,0.0,0.0,0.0,7.06,6.97,0.0
20230103:2111,0.0,0.0,0.0,0.0,7.32,7.45,0.0
20230103:2211,0.0,0.0,0.0,0.0,7.27,7.52,0.0
20230103:2311,0.0,0.0,0.0,0.0,7.47,8.07,0.0
20230104:0011,0.0,0.0,0.0,0.0,7.63,8.69,0.0
20230104:0111,0.0,0.0,0.0,0.0,7.83,9.17,0.0
20230104:0211,0.0,0.0,0.0,0.0,8.27,9.24,0.0
20230104:0311,0.0,0.0,0.0,0.0,8.47,9.66,0.0
20230104:0411,0.0,0.0,0.0,0.0,8.58,9.31,0.0
20230104:0511,0.0,0.0,0.0,0.0,9.09,9.31,0.0
20230104:0611,0.0,0.0,0.0,0.0,9.83,9.59,0.0
20230104:0711,0.0,0.0,0.0,0.0,10.46,9.59,0.0
20230104:0811,0.0,6.0,0.0,1.98,10.66,9.66,0.0
20230104:0911,25.0,53.0,0.0,7.69,10.86,9.45,0.0
20230104:1011,0.0,41.0,0.0,11.71,11.18,9.24,0.0
20230104:1111,0.0,47.0,0.0,13.71,11.51,8.9,0.0
20230104:1211,0.0,67.0,0.0,13.52,11.93,9.03,0.0
20230104:1311,9.0,75.0,0.0,11.16,12.28,9.52,0.0
20230104:1411,2.0,38.0,0.0,6.84,11.85,10.0,0.0
20230104:1511,0.0,0.0,0.0,0.0,11.75,9.1,0.0
20230104:1611,0.0,0.0,0.0,0.0,11.38,8.69,0.0
20230104:1711,0.0,0.0,0.0,0.0,11.29,8.62,0.0
20230104:1811,0.0,0.0,0.0,0.0,11.01,9.03,0.0
20230104:1911,0.0,0.0,0.0,0.0,10.88,9.38,0.0
20230104:2011,0.0,0.0,0.0,0.0,10.79,9.45,0.0
20230104:2111,0.0,0.0,0.0,0.0,10.62,9.59,0.0
20230104:2211,0.0,0.0,0.0,0.0,10.39,8.97,0.0
20230104:2311,0.0,0.0,0.0,0.0,10.18,8.62,0.0
20230105:0011,0.0,0.0,0.0,0.0,9.84,8.07,0.0
20230105:0111,0.0,0.0,0.0,0.0,9.85,7.86,0.0
20230105:0211,0.0,0.0,0.0,0.0,9.78,7.79,0.0
20230105:0311,0.0,0.0,0.0,0.0,9.58,7.72,0.0
20230105:0411,0.0,0.0,0.0,0.0,9.43,7.45,0.0
20230105:0511,0.0,0.0,0.0,0.0,9.35,7.1,0.0
20230105:0611,0.0,0.0,0.0,0.0,9.15,6.48,0.0
20230105:0711,0.0,0.0,0.0,0.0,8.81,5.79,0.0
20230105:0811,0.0,8.0,0.0,2.03,8.39,5.17,0.0
20230105:0911,39.0,50.0,0.0,7.76,8.5,4.76,0.0
20230105:1011,101.01,64.0,0.0,11.79,9.0,3.79,0.0
20230105:1111,129.01,72.0,0.0,13.81,9.37,4.0,0.0
20230105:1211,129.01,70.0,0.0,13.64,9.69,4.62,0.0
20230105:1311,6.0,74.0,0.0,11.29,9.59,3.93,0.0
20230105:1411,6.0,45.0,0.0,6.97,9.52,3.45,0.0
20230105:1511,0.0,0.0,0.0,0.0,8.77,2.41,0.0
20230105:1611,0.0,0.0,0.0,0.0,8.56,2.14,0.0
20230105:1711,0.0,0.0,0.0,0.0,8.35,2.62,0.0
20230105:1811,0.0,0.0,0.0,0.0,8.47,3.17,0.0
20230105:1911,0.0,0.0,0.0,0.0,8.57,3.59,0.0
20230105:2011,0.0,0.0,0.0,0.0,8.56,3.79,0.0
20230105:2111,0.0,0.0,0.0,0.0,9.07,4.34,0.0
20230105:2211,0.0,0.0,0.0,0.0,9.26,4.83,0.0
20230105:2311,0.0,0.0,0.0,0.0,9.77,4.9,0.0
20230106:0011,0.0,0.0,0.0,0.0,10.04,5.03,0.0
20230106:0111,0.0,0.0,0.0,0.0,10.11,5.79,0.0
20230106:0211,0.0,0.0,0.0,0.0,10.04,6.34,0.0
20230106:0311,0.0,0.0,0.0,0.0,10.1,6.62,0.0
20230106:0411,0.0,0.0,0.0,0.0,10.18,6.69,0.0
20230106:0511,0.0,0.0,0.0,0.0,10.29,7.17,0.0
20230106:0611,0.0,0.0,0.0,0.0,10.34,7.72,0.0
20230106:0711,0.0,0.0,0.0,0.0,10.32,8.28,0.0
20230106:0811,0.0,1.0,0.0,2.09,9.62,9.17,0.0
20230106:0911,57.01,43.0,0.0,7.83,9.44,6.48,0.0
20230106:1011,121.01,56.0,0.0,11.88,9.14,4.97,0.0
20230106:1111,143.01,67.0,0.0,13.92,9.46,5.17,0.0
20230106:1211,118.01,78.0,0.0,13.77,9.61,5.59,0.0
20230106:1311,31.0,85.0,0.0,11.43,9.62,5.86,0.0
20230106:1411,11.0,47.0,0.0,7.12,9.44,5.31,0.0
20230106:1511,0.0,0.0,0.0,0.0,9.0,4.97,0.0
20230106:1611,0.0,0.0,0.0,0.0,8.18,4.76,0.0
20230106:1711,0.0,0.0,0.0,0.0,7.43,4.48,0.0
20230106:1811,0.0,0.0,0.0,0.0,7.01,4.21,0.0
20230106:1911,0.0,0.0,0.0,0.0,6.7,4.07,0.0
20230106:2011,0.0,0.0,0.0,0.0,6.56,4.14,0.0
20230106:2111,0.0,0.0,0.0,0.0,6.59,3.79,0.0
20230106:2211,0.0,0.0,0.0,0.0,6.64,3.59,0.0
20230106:2311,0.0,0.0,0.0,0.0,7.45,3.79,0.0
20230107:0011,0.0,0.0,0.0,0.0,8.51,4.07,0.0
20230107:0111,0.0,0.0,0.0,0.0,9.33,4.07,0.0
20230107:0211,0.0,0.0,0.0,0.0,9.75,4.62,0.0
20230107:0311,0.0,0.0,0.0,0.0,10.12,5.1,0.0
20230107:0411,0.0,0.0,0.0,0.0,10.39,5.45,0.0
20230107:0511,0.0,0.0,0.0,0.0,10.54,5.72,0.0
20230107:0611,0.0,0.0,0.0,0.0,10.5,5.72,0.0
20230107:0711,0.0,0.0,0.0,0.0,10.4,5.66,0.0
20230107:0811,0.0,2.0,0.0,2.15,10.44,5.66,0.0
20230107:0911,10.0,54.0,0.0,7.91,10.38,5.86,0.0
20230107:1011,51.0,87.0,0.0,11.98,10.14,5.31,0.0
20230107:1111,16.0,103.0,0.0,14.04,10.64,5.66,0.0
20230107:1211,15.0,102.0,0.0,13.9,10.77,5.66,0.0
20230107:1311,7.0,78.0,0.0,11.57,10.87,6.48,0.0
20230107:1411,8.0,47.0,0.0,7.27,10.7,6.55,0.0
20230107:1511,0.0,0.0,0.0,0.0,10.49,6.62,0.0
20230107:1611,0.0,0.0,0.0,0.0,9.98,6.69,0.0
20230107:1711,0.0,0.0,0.0,0.0,9.68,6.97,0.0
20230107:1811,0.0,0.0,0.0,0.0,9.66,6.9,0.0
20230107:1911,0.0,0.0,0.0,0.0,9.61,6.97,0.0
20230107:2011,0.0,0.0,0.0,0.0,9.84,7.03,0.0
20230107:2111,0.0,0.0,0.0,0.0,10.0,7.03,0.0
20230107:2211,0.0,0.0,0.0,0.0,9.55,6.48,0.0
20230107:2311,0.0,0.0,0.0,0.0,9.52,6.28,0.0
20230108:0011,0.0,0.0,0.0,0.0,9.9,6.48,0.0
20230108:0111,0.0,0.0,0.0,0.0,9.95,6.34,0.0
20230108:0211,0.0,0.0,0.0,0.0,9.37,6.07,0.0
20230108:0311,0.0,0.0,0.0,0.0,9.24,5.93,0.0
20230108:0411,0.0,0.0,0.0,0.0,9.06,4.97,0.0
20230108:0511,0.0,0.0,0.0,0.0,8.65,4.97,0.0
20230108:0611,0.0,0.0,0.0,0.0,8.44,4.83,0.0
20230108:0711,0.0,0.0,0.0,0.0,8.2,4.83,0.0
20230108:0811,0.0,11.0,0.0,2.22,7.64,4.83,0.0
20230108:0911,59.01,44.0,0.0,8.0,7.97,5.03,0.0
20230108:1011,125.01,57.0,0.0,12.09,8.63,4.9,0.0
20230108:1111,133.01,75.0,0.0,14.16,9.03,4.97,0.0
20230108:1211,123.01,78.0,0.0,14.04,9.5,4.62,0.0
20230108:1311,101.01,63.0,0.0,11.72,9.42,5.45,0.0
20230108:1411,49.01,42.0,0.0,7.43,9.31,5.03,0.0
20230108:1511,0.0,0.0,0.0,0.0,8.73,5.1,0.0
20230108:1611,0.0,0.0,0.0,0.0,7.9,4.83,0.0
20230108:1711,0.0,0.0,0.0,0.0,7.42,4.76,0.0
20230108:1811,0.0,0.0,0.0,0.0,6.89,4.62,0.0
20230108:1911,0.0,0.0,0.0,0.0,6.46,4.97,0.0
20230108:2011,0.0,0.0,0.0,0.0,6.56,5.45,0.0
20230108:2111,0.0,0.0,0.0,0.0,6.15,5.52,0.0
20230108:2211,0.0,0.0,0.0,0.0,6.0,5.52,0.0
20230108:2311,0.0,0.0,0.0,0.0,6.03,5.24,0.0
20230109:0011,0.0,0.0,0.0,0.0,6.27,5.38,0.0
20230109:0111,0.0,0.0,0.0,0.0,6.49,5.24,0.0
20230109:0211,0.0,0.0,0.0,0.0,6.68,5.03,0.0
20230109:0311,0.0,0.0,0.0,0.0,6.49,5.24,0.0
20230109:0411,0.0,0.0,0.0,0.0,6.39,4.83,0.0
20230109:0511,0.0,0.0,0.0,0.0,5.77,4.48,0.0
20230109:0611,0.0,0.0,0.0,0.0,5.13,4.55,0.0
20230109:0711,0.0,0.0,0.0,0.0,4.67,4.55,0.0
20230109:0811,0.0,4.0,0.0,2.3,4.93,4.48,0.0
20230109:0911,4.0,51.0,0.0,8.1,5.55,4.21,0.0
20230109:1011,0.0,35.0,0.0,12.2,5.84,3.1,0.0
20230109:1111,5.0,95.0,0.0,14.29,6.32,3.1,0.0
20230109:1211,0.0,62.0,0.0,14.18,6.63,2.55,0.0
20230109:1311,19.0,88.0,0.0,11.88,7.1,2.48,0.0
20230109:1411,0.0,29.0,0.0,7.59,7.14,2.69,0.0
20230109:1511,0.0,1.0,0.0,1.64,7.19,2.41,0.0
20230109:1611,0.0,0.0,0.0,0.0,6.65,2.9,0.0
20230109:1711,0.0,0.0,0.0,0.0,6.2,3.24,0.0
20230109:1811,0.0,0.0,0.0,0.0,6.05,3.38,0.0
20230109:1911,0.0,0.0,0.0,0.0,5.94,3.72,0.0
20230109:2011,0.0,0.0,0.0,0.0,5.87,3.79,0.0
20230109:2111,0.0,0.0,0.0,0.0,5.62,3.79,0.0
20230109:2211,0.0,0.0,0.0,0.0,5.76,3.79,0.0
20230109:2311,0.0,0.0,0.0,0.0,5.71,3.52,0.0
20230110:0011,0.0,0.0,0.0,0.0,5.62,3.31,0.0
20230110:0111,0.0,0.0,0.0,0.0,5.61,3.66,0.0
20230110:0211,0.0,0.0,0.0,0.0,5.61,4.28,0.0
20230110:0311,0.0,0.0,0.0,0.0,5.43,4.34,0.0
20230110:0411,0.0,0.0,0.0,0.0,5.45,4.55,0.0
20230110:0511,0.0,0.0,0.0,0.0,5.43,4.69,0.0
20230110:0611,0.0,0.0,0.0,0.0,5.33,4.55,0.0
20230110:0711,0.0,0.0,0.0,0.0,5.27,4.69,0.0
20230110:0811,0.0,8.0,0.0,2.39,5.26,4.97,0.0
20230110:0911,19.0,58.0,0.0,8.2,5.75,5.24,0.0
20230110:1011,27.0,93.0,0.0,12.32,6.55,5.38,0.0
20230110:1111,20.0,110.0,0.0,14.43,6.94,5.38,0.0
20230110:1211,17.0,107.0,0.0,14.33,6.95,4.97,0.0
20230110:1311,12.0,86.0,0.0,12.04,6.82,5.17,0.0
20230110:1411,2.0,44.0,0.0,7.76,6.35,6.34,0.0
20230110:1511,0.0,1.0,0.0,1.82,6.09,6.48,0.0
20230110:1611,0.0,0.0,0.0,0.0,6.1,6.83,0.0
20230110:1711,0.0,0.0,0.0,0.0,6.22,7.52,0.0
20230110:1811,0.0,0.0,0.0,0.0,6.12,8.76,0.0
20230110:1911,0.0,0.0,0.0,0.0,6.1,9.38,0.0
20230110:2011,0.0,0.0,0.0,0.0,6.24,9.31,0.0
20230110:2111,0.0,0.0,0.0,0.0,6.52,8.97,0.0
20230110:2211,0.0,0.0,0.0,0.0,6.93,8.83,0.0
20230110:2311,0.0,0.0,0.0,0.0,7.58,8.83,0.0
20230111:0011,0.0,0.0,0.0,0.0,8.17,8.97,0.0
20230111:0111,0.0,0.0,0.0,0.0,8.76,9.03,0.0
20230111:0211,0.0,0.0,0.0,0.0,9.33,9.1,0.0
20230111:0311,0.0,0.0,0.0,0.0,9.64,8.97,0.0
20230111:0411,0.0,0.0,0.0,0.0,9.85,7.86,0.0
20230111:0511,0.0,0.0,0.0,0.0,9.83,6.14,0.0
20230111:0611,0.0,0.0,0.0,0.0,9.83,5.03,0.0
20230111:0711,0.0,0.0,0.0,0.0,9.57,4.62,0.0
20230111:0811,1.0,10.82,0.0,2.48,9.26,3.93,0.0
20230111:0911,63.01,45.0,0.0,8.31,8.78,4.0,0.0
20230111:1011,129.01,58.0,0.0,12.45,9.07,4.41,0.0
20230111:1111,152.01,69.0,0.0,14.58,9.53,4.97,0.0
20230111:1211,122.01,83.0,0.0,14.49,9.54,5.72,0.0
20230111:1311,1.0,63.0,0.0,12.21,9.65,6.41,0.0
20230111:1411,0.0,17.0,0.0,7.93,9.5,6.28,0.0
20230111:1511,0.0,1.0,0.0,1.99,8.84,5.79,0.0
20230111:1611,0.0,0.0,0.0,0.0,8.25,5.93,0.0
20230111:1711,0.0,0.0,0.0,0.0,7.77,6.28,0.0
20230111:1811,0.0,0.0,0.0,0.0,7.64,6.83,0.0
20230111:1911,0.0,0.0,0.0,0.0,7.86,7.03,0.0
20230111:2011,0.0,0.0,0.0,0.0,7.95,8.0,0.0
20230111:2111,0.0,0.0,0.0,0.0,7.9,8.28,0.0
20230111:2211,0.0,0.0,0.0,0.0,7.83,9.03,0.0
20230111:2311,0.0,0.0,0.0,0.0,8.11,7.86,0.0
20230112:0011,0.0,0.0,0.0,0.0,7.95,7.24,0.0
20230112:0111,0.0,0.0,0.0,0.0,7.5,6.76,0.0
20230112:0211,0.0,0.0,0.0,0.0,7.64,6.55,0.0
20230112:0311,0.0,0.0,0.0,0.0,8.03,6.48,0.0
20230112:0411,0.0,0.0,0.0,0.0,8.24,7.38,0.0
20230112:0511,0.0,0.0,0.0,0.0,8.42,8.41,0.0
20230112:0611,0.0,0.0,0.0,0.0,8.42,9.31,0.0
20230112:0711,0.0,0.0,0.0,0.0,8.36,10.34,0.0
20230112:0811,0.0,2.0,0.0,2.58,9.01,10.14,0.0
20230112:0911,0.0,19.0,0.0,8.42,10.45,8.97,0.0
20230112:1011,0.0,50.0,0.0,12.59,10.79,10.34,0.0
20230112:1111,14.0,108.0,0.0,14.73,11.05,9.03,0.0
20230112:1211,0.0,64.0,0.0,14.66,11.18,7.72,0.0
20230112:1311,33.0,93.0,0.0,12.39,11.29,6.9,0.0
20230112:1411,7.0,52.0,0.0,8.11,11.17,6.21,0.0
20230112:1511,0.0,1.0,0.0,2.18,10.86,5.79,0.0
20230112:1611,0.0,0.0,0.0,0.0,10.38,5.79,0.0
20230112:1711,0.0,0.0,0.0,0.0,10.25,6.69,0.0
20230112:1811,0.0,0.0,0.0,0.0,10.41,7.66,0.0
20230112:1911,0.0,0.0,0.0,0.0,10.49,8.14,0.0
20230112:2011,0.0,0.0,0.0,0.0,10.69,8.0,0.0
20230112:2111,0.0,0.0,0.0,0.0,10.85,8.21,0.0
20230112:2211,0.0,0.0,0.0,0.0,10.6,8.83,0.0
20230112:2311,0.0,0.0,0.0,0.0,10.29,8.14,0.0
20230113:0011,0.0,0.0,0.0,0.0,9.23,7.59,0.0
20230113:0111,0.0,0.0,0.0,0.0,8.63,7.66,0.0
20230113:0211,0.0,0.0,0.0,0.0,8.07,7.66,0.0
20230113:0311,0.0,0.0,0.0,0.0,7.91,8.21,0.0
20230113:0411,0.0,0.0,0.0,0.0,7.72,8.28,0.0
20230113:0511,0.0,0.0,0.0,0.0,7.67,8.55,0.0
20230113:0611,0.0,0.0,0.0,0.0,7.71,8.83,0.0
20230113:0711,0.0,0.0,0.0,0.0,7.83,9.03,0.0
20230113:0811,0.0,9.0,0.0,2.68,7.71,9.31,0.0
20230113:0911,3.0,51.0,0.0,8.55,7.9,9.38,0.0
20230113:1011,0.0,37.0,0.0,12.73,7.73,9.24,0.0
20230113:1111,49.0,116.0,0.0,14.89,7.88,10.34,0.0
20230113:1211,1.0,79.0,0.0,14.83,7.97,10.0,0.0
20230113:1311,0.0,16.0,0.0,12.57,8.04,9.52,0.0
20230113:1411,0.0,24.0,0.0,8.3,8.28,9.52,0.0
20230113:1511,0.0,2.0,0.0,2.36,8.06,9.93,0.0
20230113:1611,0.0,0.0,0.0,0.0,7.98,9.59,0.0
20230113:1711,0.0,0.0,0.0,0.0,7.59,9.17,0.0
20230113:1811,0.0,0.0,0.0,0.0,7.66,8.69,0.0
20230113:1911,0.0,0.0,0.0,0.0,7.38,8.28,0.0
20230113:2011,0.0,0.0,0.0,0.0,7.19,7.31,0.0
20230113:2111,0.0,0.0,0.0,0.0,7.09,6.62,0.0
20230113:2211,0.0,0.0,0.0,0.0,7.0,6.07,0.0
20230113:2311,0.0,0.0,0.0,0.0,7.0,5.52,0.0
20230114:0011,0.0,0.0,0.0,0.0,6.86,5.17,0.0
20230114:0111,0.0,0.0,0.0,0.0,6.75,5.59,0.0
20230114:0211,0.0,0.0,0.0,0.0,6.81,5.86,0.0
20230114:0311,0.0,0.0,0.0,0.0,6.66,5.45,0.0
20230114:0411,0.0,0.0,0.0,0.0,6.11,5.24,0.0
20230114:0511,0.0,0.0,0.0,0.0,5.59,5.38,0.0
20230114:0611,0.0,0.0,0.0,0.0,5.28,5.59,0.0
20230114:0711,0.0,0.0,0.0,0.0,4.91,5.66,0.0
20230114:0811,0.0,5.0,0.0,2.8,5.07,6.21,0.0
20230114:0911,0.0,25.0,0.0,8.68,5.81,6.76,0.0
20230114:1011,0.0,35.0,0.0,12.88,6.21,7.45,0.0
20230114:1111,0.0,48.0,0.0,15.06,6.44,8.21,0.0
20230114:1211,0.0,42.0,0.0,15.01,6.83,8.28,0.0
20230114:1311,0.0,26.0,0.0,12.76,7.41,8.9,0.0
20230114:1411,1.0,43.0,0.0,8.49,8.23,9.52,0.0
20230114:1511,0.0,2.0,0.0,2.56,8.77,9.52,0.0
20230114:1611,0.0,0.0,0.0,0.0,9.29,9.1,0.0
20230114:1711,0.0,0.0,0.0,0.0,9.61,8.76,0.0
20230114:1811,0.0,0.0,0.0,0.0,10.04,8.41,0.0
20230114:1911,0.0,0.0,0.0,0.0,9.83,7.52,0.0
20230114:2011,0.0,0.0,0.0,0.0,8.02,6.55,0.0
20230114:2111,0.0,0.0,0.0,0.0,7.14,6.28,0.0
20230114:2211,0.0,0.0,0.0,0.0,6.87,6.21,0.0
20230114:2311,0.0,0.0,0.0,0.0,6.58,7.1,0.0
20230115:0011,0.0,0.0,0.0,0.0,6.41,6.62,0.0
20230115:0111,0.0,0.0,0.0,0.0,6.36,6.41,0.0
20230115:0211,0.0,0.0,0.0,0.0,6.34,6.9,0.0
20230115:0311,0.0,0.0,0.0,0.0,6.47,7.24,0.0
20230115:0411,0.0,0.0,0.0,0.0,6.45,7.59,0.0
20230115:0511,0.0,0.0,0.0,0.0,6.22,7.93,0.0
20230115:0611,0.0,0.0,0.0,0.0,6.14,7.79,0.0
20230115:0711,0.0,0.0,0.0,0.0,5.77,8.48,0.0
20230115:0811,7.0,14.44,0.0,2.92,5.53,9.03,0.0
20230115:0911,64.01,51.0,0.0,8.82,5.7,9.86,0.0
20230115:1011,71.0,92.0,0.0,13.03,5.83,9.79,0.0
20230115:1111,58.0,118.0,0.0,15.23,5.9,8.55,0.0
20230115:1211,1.0,86.0,0.0,15.2,6.48,9.45,0.0
20230115:1311,0.0,41.0,0.0,12.95,5.81,11.38,0.0
20230115:1411,1.0,44.0,0.0,8.69,5.81,9.86,0.0
20230115:1511,0.0,5.0,0.0,2.76,5.47,9.03,0.0
20230115:1611,0.0,0.0,0.0,0.0,5.16,7.79,0.0
20230115:1711,0.0,0.0,0.0,0.0,5.21,6.9,0.0
20230115:1811,0.0,0.0,0.0,0.0,5.2,6.28,0.0
20230115:1911,0.0,0.0,0.0,0.0,5.1,6.28,0.0
20230115:2011,0.0,0.0,0.0,0.0,4.82,6.41,0.0
20230115:2111,0.0,0.0,0.0,0.0,4.98,6.34,0.0
20230115:2211,0.0,0.0,0.0,0.0,4.86,5.72,0.0
20230115:2311,0.0,0.0,0.0,0.0,4.61,5.24,0.0
20230116:0011,0.0,0.0,0.0,0.0,4.62,4.69,0.0
20230116:0111,0.0,0.0,0.0,0.0,4.59,4.07,0.0
20230116:0211,0.0,0.0,0.0,0.0,4.26,4.0,0.0
20230116:0311,0.0,0.0,0.0,0.0,4.2,4.07,0.0
20230116:0411,0.0,0.0,0.0,0.0,3.95,4.34,0.0
20230116:0511,0.0,0.0,0.0,0.0,3.87,4.41,0.0
20230116:0611,0.0,0.0,0.0,0.0,3.62,4.07,0.0
20230116:0711,0.0,0.0,0.0,0.0,3.61,3.93,0.0
20230116:0811,3.0,15.36,0.0,3.04,3.61,4.76,0.0
20230116:0911,6.0,58.0,0.0,8.96,4.11,4.55,0.0
20230116:1011,12.0,96.0,0.0,13.2,4.21,4.41,0.0
20230116:1111,0.0,45.0,0.0,15.41,4.48,5.03,0.0
20230116:1211,0.0,52.0,0.0,15.39,4.25,6.34,0.0
20230116:1311,0.0,50.0,0.0,13.15,3.88,6.28,0.0
20230116:1411,0.0,22.0,0.0,8.9,4.04,6.21,0.0
20230116:1511,0.0,5.0,0.0,2.96,4.29,5.66,0.0
20230116:1611,0.0,0.0,0.0,0.0,4.25,4.97,0.0
20230116:1711,0.0,0.0,0.0,0.0,4.11,4.41,0.0
20230116:1811,0.0,0.0,0.0,0.0,3.82,3.86,0.0
20230116:1911,0.0,0.0,0.0,0.0,3.75,3.45,0.0
20230116:2011,0.0,0.0,0.0,0.0,3.53,2.9,0.0
20230116:2111,0.0,0.0,0.0,0.0,3.23,2.62,0.0
20230116:2211,0.0,0.0,0.0,0.0,3.89,2.48,0.0
20230116:2311,0.0,0.0,0.0,0.0,3.84,2.9,0.0
20230117:0011,0.0,0.0,0.0,0.0,3.75,4.0,0.0
20230117:0111,0.0,0.0,0.0,0.0,3.4,5.24,0.0
20230117:0211,0.0,0.0,0.0,0.0,3.13,6.62,0.0
20230117:0311,0.0,0.0,0.0,0.0,3.02,7.45,0.0
20230117:0411,0.0,0.0,0.0,0.0,3.4,7.86,0.0
20230117:0511,0.0,0.0,0.0,0.0,3.2,6.48,0.0
20230117:0611,0.0,0.0,0.0,0.0,2.95,5.31,0.0
20230117:0711,0.0,0.0,0.0,0.0,2.26,5.17,0.0
20230117:0811,0.0,11.0,0.0,3.18,1.65,4.9,0.0
20230117:0911,0.0,22.0,0.0,9.11,1.94,4.9,0.0
20230117:1011,63.0,99.0,0.0,13.37,2.58,5.17,0.0
20230117:1111,58.0,122.0,0.0,15.6,3.26,4.48,0.0
